,lat,lng,dir,city,label,filename
0,40.68506968,-73.9612494,0,newyork,Fort Green,"newyork/40.68506968,-73.9612494_0.jpg"
1,40.68506968,-73.9612494,1,newyork,Fort Green,"newyork/40.68506968,-73.9612494_1.jpg"
2,40.68506968,-73.9612494,2,newyork,Fort Green,"newyork/40.68506968,-73.9612494_2.jpg"
3,40.68506968,-73.9612494,3,newyork,Fort Green,"newyork/40.68506968,-73.9612494_3.jpg"
4,40.68511284,-73.97047684,0,newyork,Fort Green,"newyork/40.68511284,-73.97047684_0.jpg"
5,40.68511284,-73.97047684,1,newyork,Fort Green,"newyork/40.68511284,-73.97047684_1.jpg"
6,40.68511284,-73.97047684,2,newyork,Fort Green,"newyork/40.68511284,-73.97047684_2.jpg"
7,40.68511284,-73.97047684,3,newyork,Fort Green,"newyork/40.68511284,-73.97047684_3.jpg"
8,40.68512401,-73.96923078,0,newyork,Fort Green,"newyork/40.68512401,-73.96923078_0.jpg"
9,40.68512401,-73.96923078,1,newyork,Fort Green,"newyork/40.68512401,-73.96923078_1.jpg"
10,40.68512401,-73.96923078,2,newyork,Fort Green,"newyork/40.68512401,-73.96923078_2.jpg"
11,40.68512401,-73.96923078,3,newyork,Fort Green,"newyork/40.68512401,-73.96923078_3.jpg"
12,40.68513445,-73.97605604,0,newyork,Fort Green,"newyork/40.68513445,-73.97605604_0.jpg"
13,40.68513445,-73.97605604,1,newyork,Fort Green,"newyork/40.68513445,-73.97605604_1.jpg"
14,40.68513445,-73.97605604,2,newyork,Fort Green,"newyork/40.68513445,-73.97605604_2.jpg"
15,40.68513445,-73.97605604,3,newyork,Fort Green,"newyork/40.68513445,-73.97605604_3.jpg"
16,40.68529177,-73.97790473,0,newyork,Fort Green,"newyork/40.68529177,-73.97790473_0.jpg"
17,40.68529177,-73.97790473,1,newyork,Fort Green,"newyork/40.68529177,-73.97790473_1.jpg"
18,40.68529177,-73.97790473,2,newyork,Fort Green,"newyork/40.68529177,-73.97790473_2.jpg"
19,40.68529177,-73.97790473,3,newyork,Fort Green,"newyork/40.68529177,-73.97790473_3.jpg"
20,40.68531272,-73.95982501,0,newyork,Fort Green,"newyork/40.68531272,-73.95982501_0.jpg"
21,40.68531272,-73.95982501,1,newyork,Fort Green,"newyork/40.68531272,-73.95982501_1.jpg"
22,40.68531272,-73.95982501,2,newyork,Fort Green,"newyork/40.68531272,-73.95982501_2.jpg"
23,40.68531272,-73.95982501,3,newyork,Fort Green,"newyork/40.68531272,-73.95982501_3.jpg"
24,40.68534962,-73.97856476,0,newyork,Brooklyn Heights,"newyork/40.68534962,-73.97856476_0.jpg"
25,40.68534962,-73.97856476,1,newyork,Brooklyn Heights,"newyork/40.68534962,-73.97856476_1.jpg"
26,40.68534962,-73.97856476,2,newyork,Brooklyn Heights,"newyork/40.68534962,-73.97856476_2.jpg"
27,40.68534962,-73.97856476,3,newyork,Brooklyn Heights,"newyork/40.68534962,-73.97856476_3.jpg"
28,40.6853879,-73.96331812,0,newyork,Fort Green,"newyork/40.6853879,-73.96331812_0.jpg"
29,40.6853879,-73.96331812,1,newyork,Fort Green,"newyork/40.6853879,-73.96331812_1.jpg"
30,40.6853879,-73.96331812,2,newyork,Fort Green,"newyork/40.6853879,-73.96331812_2.jpg"
31,40.6853879,-73.96331812,3,newyork,Fort Green,"newyork/40.6853879,-73.96331812_3.jpg"
32,40.6854504,-73.97656452,0,newyork,Fort Green,"newyork/40.6854504,-73.97656452_0.jpg"
33,40.6854504,-73.97656452,1,newyork,Fort Green,"newyork/40.6854504,-73.97656452_1.jpg"
34,40.6854504,-73.97656452,2,newyork,Fort Green,"newyork/40.6854504,-73.97656452_2.jpg"
35,40.6854504,-73.97656452,3,newyork,Fort Green,"newyork/40.6854504,-73.97656452_3.jpg"
36,40.68547659,-73.97253204,0,newyork,Fort Green,"newyork/40.68547659,-73.97253204_0.jpg"
