
Bayview	sanfrancisco/37.74533672,-122.3907208_1.png	sanfrancisco/37.74853967,-122.3967647_1.png	sanfrancisco/37.74177507,-122.4030527_1.png	sanfrancisco/37.74926258,-122.3997277_0.png	sanfrancisco/37.73583734,-122.40058_1.png	sanfrancisco/37.73886461,-122.4025252_1.png	sanfrancisco/37.7326893,-122.398522_0.png	sanfrancisco/37.73822961,-122.4009435_1.png	sanfrancisco/37.72876724,-122.400295_1.png	sanfrancisco/37.73153187,-122.4014683_0.png	
BernalHeights	sanfrancisco/37.74235504,-122.4136279_0.png	sanfrancisco/37.74374959,-122.4225332_3.png	sanfrancisco/37.74639434,-122.4154163_1.png	sanfrancisco/37.73751893,-122.4109941_3.png	sanfrancisco/37.73915837,-122.4234945_0.png	sanfrancisco/37.74035532,-122.4118937_1.png	sanfrancisco/37.73751931,-122.4110332_3.png	sanfrancisco/37.74481245,-122.4066703_2.png	sanfrancisco/37.74104102,-122.4101902_2.png	sanfrancisco/37.73473467,-122.4228872_0.png	
CastroUpperMarket	sanfrancisco/37.76612688,-122.4345061_1.png	sanfrancisco/37.76489859,-122.4412761_0.png	sanfrancisco/37.76258344,-122.443526_1.png	sanfrancisco/37.76612688,-122.4345061_0.png	sanfrancisco/37.76696703,-122.433082_2.png	sanfrancisco/37.75926031,-122.4458235_2.png	sanfrancisco/37.76224127,-122.4289443_0.png	sanfrancisco/37.76543827,-122.4433104_0.png	sanfrancisco/37.76054697,-122.4360265_2.png	sanfrancisco/37.76481432,-122.4337793_1.png	
Chinatown	sanfrancisco/37.79193542,-122.4052147_3.png	sanfrancisco/37.79368889,-122.4088221_3.png	sanfrancisco/37.79620401,-122.4066527_3.png	sanfrancisco/37.79583178,-122.406935_1.png	sanfrancisco/37.79716319,-122.4057823_3.png	sanfrancisco/37.79179407,-122.405553_3.png	sanfrancisco/37.79087627,-122.4048558_3.png	sanfrancisco/37.79547675,-122.4096284_3.png	sanfrancisco/37.7931723,-122.4070036_2.png	sanfrancisco/37.79406739,-122.4066872_1.png	
DiamondHeights	sanfrancisco/37.73772668,-122.4415063_0.png	sanfrancisco/37.74231756,-122.4449626_3.png	sanfrancisco/37.74033471,-122.4414586_0.png	sanfrancisco/37.73739778,-122.4413918_3.png	sanfrancisco/37.74286188,-122.4439342_0.png	sanfrancisco/37.74347219,-122.4423104_0.png	sanfrancisco/37.74288751,-122.4452415_3.png	sanfrancisco/37.73810926,-122.441533_1.png	sanfrancisco/37.74079013,-122.4427703_0.png	sanfrancisco/37.74254967,-122.4417471_0.png	
Downtown	sanfrancisco/37.78774831,-122.4178758_2.png	sanfrancisco/37.78928275,-122.4077411_0.png	sanfrancisco/37.78564344,-122.4074882_2.png	sanfrancisco/37.78493568,-122.4143572_1.png	sanfrancisco/37.78696474,-122.4073294_3.png	sanfrancisco/37.78230875,-122.4123139_3.png	sanfrancisco/37.78280947,-122.4206158_3.png	sanfrancisco/37.77959561,-122.4198001_0.png	sanfrancisco/37.78263688,-122.4122619_3.png	sanfrancisco/37.77932642,-122.4140107_1.png	
Excelsior	sanfrancisco/37.73162583,-122.4085752_0.png	sanfrancisco/37.72650467,-122.4072311_1.png	sanfrancisco/37.71773146,-122.4281558_0.png	sanfrancisco/37.72273929,-122.4161582_3.png	sanfrancisco/37.7185446,-122.4338581_3.png	sanfrancisco/37.71727326,-122.432414_1.png	sanfrancisco/37.72756374,-122.4116229_0.png	sanfrancisco/37.72812867,-122.4133353_0.png	sanfrancisco/37.73123779,-122.412873_3.png	sanfrancisco/37.72284274,-122.4261366_1.png	
FinancialDistrict	sanfrancisco/37.79390577,-122.3992883_2.png	sanfrancisco/37.79409557,-122.4003504_2.png	sanfrancisco/37.78916279,-122.3999677_2.png	sanfrancisco/37.79486124,-122.4014848_1.png	sanfrancisco/37.79316591,-122.4012224_1.png	sanfrancisco/37.78835801,-122.401428_0.png	sanfrancisco/37.79465894,-122.3950311_2.png	sanfrancisco/37.79107091,-122.3939588_2.png	sanfrancisco/37.78624741,-122.3969658_3.png	sanfrancisco/37.78493743,-122.4032996_2.png	
GlenPark	sanfrancisco/37.73771553,-122.4267383_1.png	sanfrancisco/37.73842773,-122.4357204_0.png	sanfrancisco/37.73889027,-122.4270182_0.png	sanfrancisco/37.73474064,-122.4301478_0.png	sanfrancisco/37.73577074,-122.4357274_2.png	sanfrancisco/37.73418992,-122.4351869_1.png	sanfrancisco/37.73722045,-122.43039_2.png	sanfrancisco/37.74046941,-122.4259968_0.png	sanfrancisco/37.73771553,-122.4267383_3.png	sanfrancisco/37.74034752,-122.4334193_0.png	
HaightAshbury	sanfrancisco/37.77496303,-122.4491681_1.png	sanfrancisco/37.77414002,-122.4495229_2.png	sanfrancisco/37.77051725,-122.4372546_2.png	sanfrancisco/37.77503949,-122.4467408_3.png	sanfrancisco/37.76653404,-122.4507314_0.png	sanfrancisco/37.7679439,-122.4514697_1.png	sanfrancisco/37.7692248,-122.4388105_1.png	sanfrancisco/37.77283376,-122.446789_1.png	sanfrancisco/37.7692248,-122.4388105_3.png	sanfrancisco/37.76471279,-122.445708_1.png	
